repo,file,method,startLine,endLine,pattern,suggestion,note
macrozheng/mall-swarm,mall-demo\src\main\java\com\macro\mall\demo\component\FeignRequestInterceptor.java,apply,25,33,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-demo\src\main\java\com\macro\mall\demo\validator\FlagValidatorClass.java,isValid,19,24,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-gateway\src\main\java\com\macro\mall\config\SaTokenConfig.java,getSaReactorFilter,68,73,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-mbg\src\main\java\com\macro\mall\CommentGenerator.java,addFieldJavaDoc,59,61,FOREACH_LOOP,Parallel Stream,Per-element work over a collection. Candidate for parallel stream if independent.
macrozheng/mall-swarm,mall-mbg\src\main\java\com\macro\mall\Generator.java,<class-level>,34,36,FOREACH_LOOP,Parallel Stream,Per-element work over a collection. Candidate for parallel stream if independent.
macrozheng/mall-swarm,mall-mbg\src\main\java\com\macro\mall\model\SmsFlashPromotionExample.java,addCriterionForJDBCDate,122,124,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-mbg\src\main\java\com\macro\mall\model\SmsFlashPromotionSessionExample.java,addCriterionForJDBCTime,122,124,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-mbg\src\main\java\com\macro\mall\model\UmsMemberExample.java,addCriterionForJDBCDate,122,124,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\controller\AlipayController.java,notify,61,63,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\MemberReadHistoryServiceImpl.java,delete,43,47,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,generateOrder,103,122,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,generateOrder,130,132,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,generateOrder,145,147,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,generateOrder,156,159,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,generateOrder,225,228,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,cancelTimeOutOrder,278,280,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,cancelTimeOutOrder,282,292,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,list,384,390,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,deleteCartItemList,461,463,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcGiftGrowth,472,474,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcGifIntegration,483,485,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,handleRealAmount,512,519,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getOrderPromotionInfo,527,530,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcIntegrationAmount,556,560,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcCouponAmount,569,573,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcPromotionAmount,582,586,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcPerCouponAmount,653,657,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getCouponOrderItemByRelation,671,673,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getCouponOrderItemByRelation,674,680,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getCouponOrderItemByRelation,683,685,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getCouponOrderItemByRelation,686,692,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getUseCoupon,705,709,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcTotalAmount,718,720,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,lockStock,728,732,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,hasStock,739,746,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcCartAmount,758,761,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,calcCartPromotion,37,109,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getPromotionProductList,118,120,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,groupCartItemBySpu,129,138,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,handleNoReduce,161,173,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getProductFullReduction,184,188,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getProductLadder,218,222,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getCartItemCount,231,233,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getCartItemAmount,242,247,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getOriginalPrice,255,259,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getPromotionProductById,267,271,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\PmsPortalProductServiceImpl.java,covert,133,140,RECURSIVE_METHOD,ForkJoin / RecursiveTask,Method calls itself; candidate for divide-and-conquer parallelization.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberCouponServiceImpl.java,generateCouponCode,90,92,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberCouponServiceImpl.java,listCart,123,164,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberCouponServiceImpl.java,calcTotalAmount,216,219,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberCouponServiceImpl.java,calcTotalAmountByproductCategoryId,225,230,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberCouponServiceImpl.java,calcTotalAmountByProductId,236,241,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberServiceImpl.java,generateAuthCode,100,102,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
macrozheng/mall-swarm,mall-search\src\main\java\com\macro\mall\search\service\impl\EsProductServiceImpl.java,importAll,50,53,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-search\src\main\java\com\macro\mall\search\service\impl\EsProductServiceImpl.java,delete,77,81,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-search\src\main\java\com\macro\mall\search\service\impl\EsProductServiceImpl.java,convertProductRelatedInfo,252,254,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
macrozheng/mall-swarm,mall-search\src\main\java\com\macro\mall\search\service\impl\EsProductServiceImpl.java,convertProductRelatedInfo,260,262,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
macrozheng/mall-swarm,mall-search\src\main\java\com\macro\mall\search\service\impl\EsProductServiceImpl.java,convertProductRelatedInfo,268,283,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-demo\src\in\srain\cube\views\ptr\demo\image\DemoDuiTangImageReSizer.java,binarySearch,40,49,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-demo\src\in\srain\cube\views\ptr\demo\ui\storehouse\StoreHouseUsingPointList.java,getPointList,138,141,INDEXED_LOOP,ForkJoin / RecursiveTask,Heavy computation in indexed loop. Consider ForkJoin for divide-and-conquer parallelism.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-demo\src\in\srain\cube\views\ptr\demo\ui\storehouse\StoreHouseUsingPointList.java,getPointList,142,149,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-demo\src\in\srain\cube\views\ptr\demo\ui\viewpager\ViewPagerActivity.java,initCateViews,49,51,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-demo\src\in\srain\cube\views\ptr\demo\ui\viewpager\ViewPagerActivity.java,switchTO,135,143,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\MaterialProgressDrawable.java,isRunning,295,300,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\StoreHouseHeader.java,setLineWidth,84,86,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\StoreHouseHeader.java,setTextColor,92,94,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\StoreHouseHeader.java,initWithStringArray,134,141,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\StoreHouseHeader.java,initWithPointList,159,173,INDEXED_LOOP,ForkJoin / RecursiveTask,Heavy computation in indexed loop. Consider ForkJoin for divide-and-conquer parallelism.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\StoreHouseHeader.java,onDraw,199,242,INDEXED_LOOP,ForkJoin / RecursiveTask,Heavy computation in indexed loop. Consider ForkJoin for divide-and-conquer parallelism.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\StoreHouseHeader.java,onUIReset,252,255,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\StoreHouseHeader.java,run,303,318,INDEXED_LOOP,ForkJoin / RecursiveTask,Heavy computation in indexed loop. Consider ForkJoin for divide-and-conquer parallelism.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\StoreHousePath.java,<class-level>,301,303,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\StoreHousePath.java,<class-level>,305,307,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\StoreHousePath.java,<class-level>,309,311,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\header\StoreHousePath.java,getPath,341,366,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
liaohuqiu/android-Ultra-Pull-To-Refresh,ptr-lib\src\in\srain\cube\views\ptr\PtrUIHandlerHolder.java,addHandler,43,52,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
